time (since java epoch),time since bag start (ms),Manager centralmanager-vm1,Manager centralmanager-vm5,Manager centralmanager-vm9
1554991313185,1831184,0.020202020202020204,0.010101010101010102,0.0
1554991313855,1831854,0.020202020202020204,0.010101010101010102,0.0
1554991313888,1831887,0.010101010101010102,0.010101010101010102,0.0
1554991314185,1832184,0.010101010101010102,0.01020408163265306,0.0
1554991314854,1832853,0.010101010101010102,0.01020408163265306,0.01
1554991314889,1832888,0.0297029702970297,0.01020408163265306,0.01
1554991315184,1833183,0.0297029702970297,0.010101010101010102,0.01
1554991315854,1833853,0.0297029702970297,0.010101010101010102,0.01
1554991315888,1833887,0.010101010101010102,0.010101010101010102,0.01
1554991316185,1834184,0.010101010101010102,0.0297029702970297,0.01
1554991316854,1834853,0.010101010101010102,0.0297029702970297,0.0
1554991316888,1834887,0.0392156862745098,0.0297029702970297,0.0
1554991317185,1835184,0.0392156862745098,0.019801980198019802,0.0
1554991317854,1835853,0.0392156862745098,0.019801980198019802,0.010101010101010102
1554991317888,1835887,0.010101010101010102,0.019801980198019802,0.010101010101010102
1554991318185,1836184,0.010101010101010102,0.010101010101010102,0.010101010101010102
1554991318854,1836853,0.010101010101010102,0.010101010101010102,0.0
1554991318888,1836887,0.0297029702970297,0.010101010101010102,0.0
1554991319184,1837183,0.0297029702970297,0.010101010101010102,0.0
1554991319854,1837853,0.0297029702970297,0.010101010101010102,0.01
1554991319888,1837887,0.02,0.010101010101010102,0.01
1554991320184,1838183,0.02,0.02,0.01
1554991320854,1838853,0.02,0.02,0.0
1554991320889,1838888,0.019801980198019802,0.02,0.0
1554991321184,1839183,0.019801980198019802,0.020202020202020204,0.0
1554991321854,1839853,0.019801980198019802,0.020202020202020204,0.01
1554991321888,1839887,0.01020408163265306,0.020202020202020204,0.01
1554991322185,1840184,0.01020408163265306,0.01,0.01
1554991322854,1840853,0.01020408163265306,0.01,0.0
1554991322888,1840887,0.019801980198019802,0.01,0.0
1554991323185,1841184,0.019801980198019802,0.01,0.0
1554991323854,1841853,0.019801980198019802,0.01,0.0
1554991323889,1841888,0.0297029702970297,0.01,0.0
1554991324185,1842184,0.0297029702970297,0.010101010101010102,0.0
1554991324854,1842853,0.0297029702970297,0.010101010101010102,0.0
1554991324888,1842887,0.02,0.010101010101010102,0.0
1554991325184,1843183,0.02,0.02,0.0
1554991325855,1843854,0.02,0.02,0.02
1554991325889,1843888,0.020202020202020204,0.02,0.02
1554991326185,1844184,0.020202020202020204,0.019801980198019802,0.02
1554991326855,1844854,0.020202020202020204,0.019801980198019802,0.0
1554991326888,1844887,0.0,0.019801980198019802,0.0
1554991327185,1845184,0.0,0.010101010101010102,0.0
1554991327854,1845853,0.0,0.010101010101010102,0.0
1554991327888,1845887,0.010101010101010102,0.010101010101010102,0.0
1554991328184,1846183,0.010101010101010102,0.010101010101010102,0.0
1554991328855,1846854,0.010101010101010102,0.010101010101010102,0.0
1554991328888,1846887,0.0297029702970297,0.010101010101010102,0.0
1554991329184,1847183,0.0297029702970297,0.019801980198019802,0.0
1554991329854,1847853,0.0297029702970297,0.019801980198019802,0.0
1554991329888,1847887,0.02,0.019801980198019802,0.0
1554991330184,1848183,0.02,0.0,0.0
1554991330855,1848854,0.02,0.0,0.01
1554991330889,1848888,0.02,0.0,0.01
1554991331184,1849183,0.02,0.019801980198019802,0.01
1554991331854,1849853,0.02,0.019801980198019802,0.0
1554991331888,1849887,0.02,0.019801980198019802,0.0
1554991332184,1850183,0.02,0.0,0.0
1554991332854,1850853,0.02,0.0,0.0
1554991332888,1850887,0.019801980198019802,0.0,0.0
1554991333184,1851183,0.019801980198019802,0.019801980198019802,0.0
1554991333855,1851854,0.019801980198019802,0.019801980198019802,0.010101010101010102
1554991333888,1851887,0.020202020202020204,0.019801980198019802,0.010101010101010102
1554991334185,1852184,0.020202020202020204,0.0297029702970297,0.010101010101010102
1554991334854,1852853,0.020202020202020204,0.0297029702970297,0.010101010101010102
1554991334888,1852887,0.010101010101010102,0.0297029702970297,0.010101010101010102
1554991335184,1853183,0.010101010101010102,0.01,0.010101010101010102
1554991335854,1853853,0.010101010101010102,0.01,0.01
1554991335888,1853887,0.0297029702970297,0.01,0.01
1554991336184,1854183,0.0297029702970297,0.02,0.01
1554991336854,1854853,0.0297029702970297,0.02,0.0
1554991336889,1854888,0.019801980198019802,0.02,0.0
1554991337185,1855184,0.019801980198019802,0.01,0.0
1554991337855,1855854,0.019801980198019802,0.01,0.01
